Filename,Frame,Time (mins),Image row,Image col,Date,Location,Site #,Transect #,Latitude,Longitude,Rugosity,Depth,Collector,Fishing status,Spare,Spare,FOV,Relief,,Radius %
Z_100.jpg,Z_100,,1483,963,,,Z_100,Z_100,,,,,,,,,Open,,,52.9
Z_100.jpg,Z_100,,1752,963,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,59.6
Z_100.jpg,Z_100,,2021,963,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,68.4
Z_100.jpg,Z_100,,139,1346,,,Z_100,Z_100,,,,,,,,,Open,,,56.1
Z_100.jpg,Z_100,,408,1346,,,Z_100,Z_100,,,,,,,,,Open,,,45
Z_100.jpg,Z_100,,677,1346,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,35.7
Z_100.jpg,Z_100,,946,1346,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,30
Z_100.jpg,Z_100,,1214,1346,,,Z_100,Z_100,,,,,,,,,Open,,,30
Z_100.jpg,Z_100,,1483,1346,,,Z_100,Z_100,,,,,,,,,Open,,,35.7
Z_100.jpg,Z_100,,1752,1346,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,45
Z_100.jpg,Z_100,,2021,1346,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,56.1
Z_100.jpg,Z_100,,139,1729,,,Z_100,Z_100,,,,,,,,,Open,,,48.9
Z_100.jpg,Z_100,,408,1729,,,Z_100,Z_100,,,,,,,,,Open,,,35.6
Z_100.jpg,Z_100,,677,1729,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,22.7
Z_100.jpg,Z_100,,946,1729,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,11.9
Z_100.jpg,Z_100,,1214,1729,,,Z_100,Z_100,,,,,,,,,Open,,,11.9
Z_100.jpg,Z_100,,1483,1729,,,Z_100,Z_100,,,,,,,,,Open,,,22.7
Z_100.jpg,Z_100,,1752,1729,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,35.6
Z_100.jpg,Z_100,,2021,1729,,,Z_100,Z_100,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,48.9
Z_100.jpg,Z_100,,139,2112,,,Z_100,Z_100,,,,,,,,,Open,,,48.9
Z_100.jpg,Z_100,,408,2112,,,Z_100,Z_100,,,,,,,,,Open,,,35.6
